line,requiredElements1,requiredElements2,requiredCssSelectors,requiredCssProperties,settings
1,title,,,,/Volumes/GoogleDrive/My Drive/Courses/CIS195/ArchiveOfPastYears/2023-Summer/StudentWork/TermProject/CIS195_Su23TermProjects
2,header,,,,G:/My Drive/Courses/CIS195/ArchiveOfPastYears/2023-Summer/StudentWork/TermProject/CIS195_Su23TermProjects
3,h1,,,,Term Project
4,nav,,,,1
5,p,,,,
6,table,,,,
7,tr,,,,
8,th,,,,
9,td,,,,
10,link[href][rel='stylesheet'],,,,
11,style,,,,
12,figure,,,,
13,img,,,,
14,img[alt],,,,
15,section,,,,
16,article,,,,